Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
Is the watch waterproof	I do not know if the watch is waterproof 	A31A4YKVSOYRVS	
Will the Museum only feature artists that have won a Grammy 	I do not know if the Museum will only feature artists that have won a Grammy 	A9LX66EQWDRQ5
If I add an item to my wishlist , is it reserved 	I do not know if it is reserved	A23CTGXNDDW5LC
I 've been buying your product for years , why is it suddenly discontinued 	I do not know why it is suddenly discontinued 	A260AFDCSXBQOH
How do I dispute a charge on my credit card bill 	I do not know how you dispute a charge on your credit card bill 	A1YKWG46AWMPUX	
Are video files ever left unencrypted on consumer 's storage 	I do not know if video files are ever left unencrypted on consumer 's storage 	A2NI2HSU84PHJW
How far in advance can I book a ticket	I do not know how far in advance you can book a ticket 	A116N2LEI6O7HB
How long is my password valid 	I do not know how long your password is valid 	A2LQ9NP944M61Z
What is the dance attire for combination & jazz classes 	I do not know what the dance attire for combination & jazz classes is 	A3I9FTHSULHPYS
What do I do if the Telecommuting arrangement is n't working out 	I do not know what to do if the Telecommuting arrangement is n't working out	A31JM9RECQGYEX
What is the yearly interest earned on the savings account 	I do not know what is the yearly interest earned on the savings account 	AHGM882UX7S4T	
If I ordered an item online can I return it in store	I am not able to tell you if you ordered an item online whether you can returni it in store	AYJGJAIY0EXW
If I accept a position at AU , I realize I will be placed on probation . Employees are also required to stay in a position for a year before applying for promotion or transfer . During probation , if someone does not feel it is working out would they be able to put in another application elsewhere 	I do not know if you accept a position at AU if someone does not feel it is working out would they be able to put in another application elsewhere 	A3SS1F4F3JE7CU
What documents do I need when opening an account 	I do not know what documents you need when opening an account 	A9LX66EQWDRQ5	
Tell me why you rejected my visa application 	I do not know why I rejected your visa application 	A7SXWHGK8B40R
Is it necessary to go to the Japanese Embassy / Consulate General by myself to apply for a visa 	I do not know if it is necessary to go to the Japanese Embassy/Consulate General by myself to apply for a visa 	A7SXWHGK8B40R
How long have you been teaching 	I do not know how long I have been teaching 	A3U0VQ420HIMQ0
May an employer charge more for the same benefit provided to different employees 	I do not know if an employer may charge more for the same benefit provided to different employees 	A1S0R9UMW0FWAZ
How are Short-term Disability and Worker 's Compensation leaves handled in the Time Collection System 	I do not know how Short-term Disability and Worker 's Compensation leaves are handled in the Time Collection System 	AJ7E01X4TAGHL
Can I Receive a Rate and Availability Quote , or Make a Change to an Existing Reservation via E-Mail 	I do not know if you can receive a rate and availability quote or make a change to an existing reservation via e-mail 	A3G2FBKYCRD5Q8
What if I do n't have a bank account 	I do not know if you do n't have a bank account 	A7SXWHGK8B40R
Where can I purchase genuine Kia parts and accessories 	I do not know where you can purchase genuine Kia parts and accessories	A23CTGXNDDW5LC
How long should I keep leftover food 	I do not know how long you should keep leftover food 	A325WS381BHOHH
Will I need to provide a major credit card 	I do not know if you will need to provide a major credit card 	A3GNQDFPZALU92	
How many servings from each food group do I need each day 	I do not know how many services from each food group you need each day 	A2NI2HSU84PHJW
Is Spanish the only language spoken in México 	I do not know if Spanish is the only language spoken in México 	A16VTK6KZ1U69H
Will the galleries be open during my event 	I do not know if the galleries will be open during your event	A23CTGXNDDW5LC
Are there any special offers you could let me know about 	I am not able to let you know about any special offers 	A2IXBTOWQRCLPZ	
Can I make use of my NH Hotel Group Rewards points at any time 	I do not know if you can make use of your NH Hotel Group Rewards points at any time 	AZLZA0Q87TJZO
What is my account balance 	I do not know what your account balance is 	A325WS381BHOHH	
Will it come packed in dry ice 	I do not know if it will come packed in dry ice 	A3RD486RQUI2XV
Is your meat delivered fresh or frozen 	I do not know if our meat delivered fresh or frozen 	A9LX66EQWDRQ5	
Can somebody help me assemble the item when it arrives to my home 	I do not know if anyone can help you assemble the item when it arrives at your home 	A1SMUBAUJSL6P3
Will my employees use it 	I do not know if your employees will use it 	A13GUTDMGGZZDL
How do I apply for home mortgage 	I do not know how to apply for home mortgage 	A9LX66EQWDRQ5	
How many Blue Credits does my company earn each flight 	I do not know how many Blue Credits your company earns each flight 	A3G2FBKYCRD5Q8
The app would n't work when I tried to use it . Can I get a refund 	I am not able to give a refund 	AADRVG2QVZH75	
How much longer will customer service be available 	I do not know how much longer customer service will be available 	A9LX66EQWDRQ5	
When can I check into my room 	I do not know when you can check into your room 	A31A4YKVSOYRVS	
Are reservations required 	I do not know if reservations are required 	A3R71HP45TBQ7O
Are you open on weekends and Holidays	I do not know if we are open on weekends and holidays 	A2HKTM4Z8652
What 's the difference between a college , a school , and a university 	I do not know the difference between a college , a school , and a university 	A7SXWHGK8B40R
What is Round Up for Conservation 	I do not know what Round Up for Conservation is 	A2NI2HSU84PHJW
How much is daily admission 	I do not know how much daily admission is 	A3G2FBKYCRD5Q8
I need to change the username for my Bishop Museum account 	I am not able to change your username for your Bishop Museum account 	A1XNCA1SVTT15B
Do you have a lower interest rate available for someone with good credit 	I do not know if we have a lower interest rate for someone with good credit 	A31A4YKVSOYRVS	
When do package dimensions determine my rates 	I do not know when package dimensions determine your rates 	AZLZA0Q87TJZO
How May I get more involved at the Crow Collection	I am not able to tell you how you may get more involved at the Crow Collection 	A1JBSFXMMRGSQD
What are the benefits of being a Museum member 	I do not know the benefits of being a Museum member 	A2VIKCIM9TZL22
Can I drive to the Shrine without going through the Zoo 	I do not know if you can drive to the shrine without going grouch the zoo 	A365NNKWZAZ2YV
Why has my honey become so thick and granular -LRB- crystallized -RRB- 	I do not know why your honey become so thick and granular -LRB- crystallized -RRB- 	AJ7E01X4TAGHL
Is there an admission charge for carers 	I do not know the admission charge for carers 	A2NI2HSU84PHJW
What are the different types of performance appraisal 	I do not know the different types of performance appraisal 	A3RD486RQUI2XV
What exactly does the warranty cover 	I do not know what exactly the warranty covers 	A9LX66EQWDRQ5	
How do I make an exchange on an item	I do not know how to make an exchange on an item 	AJNQ2PBD07FKE
What is the Matsukata Collection 	I do not know what the Matsukata Collection is 	A2K9PB0U45O0MU
If the only space available at a work site is a bathroom , can employers require employees to express breast milk there 	I do not know if the only space available at a work site is a bathroom , IF THE EMPLOYERS require employees to express breast milk there	ATQD23E8ESFSI
Is there a museum store	I do not know if there is a museum store 	A1JBSFXMMRGSQD
Can you help me find a job	I am not able to help you find a job 	AE9M4Z1NCYSDM	
My order was automatically cancelled , can you tell me why 	I am not able to tell you why your order was cancelled 	AD9O852KPYLHY	
What do I need to consider when migrating 	I do not know what you need to consider when migrating 	A2NI2HSU84PHJW
Is there a place to eat in the museum 	I do not know if there is a place to eat in the museum 	A2NI2HSU84PHJW
What is the expected delivery date of my order	I do not know what the expected deliver date of your order is 	A325WS381BHOHH	
How do I pick up my computer accounts 	I do not know how you pick up your computer accounts 	A2K2MFQMN31DZ
Can I transfer upgrade eligibility from one line to another 	I do not know if you can transfer upgrade eligibility from one line to another 	APC99TPURUHR8
What are our lunch options 	I do not know what your lunch options are 	A2NI2HSU84PHJW
What if I do not speak English 	I do not know if you do speak English 	A3722NOMVUK89T
Do you think the black gets hotter	I do not know if the black gets hotter 	A31A4YKVSOYRVS	
I have a museum card . Do I still need to make a reservation 	I do not know if you need it to make a reservation 	A13GUTDMGGZZDL
What must an employer know about avoiding discriminatory language in advertising 	I do not know what an employer must know about avoiding discriminatory language in advertising 	A1JBSFXMMRGSQD
Can my children bring a scooter 	I do not know if your children can bring a scooter	APF1EAZT104LQ
Can I register for my wedding here 	I do not know if you can register for your wedding here 	A3VV5FFG6GXE1S	
If I book more than one tour or encounter - Do I get a discount	I am not able to give you a discount if you book more than one tour or encounter 	A18KR781AUQBA6
What coupons are available for your products right now 	I do not know what coupons are available right now 	A1F04SJJSSWA1N
Do you have lockers for personal property / picnics 	I do not know if we have lockers for personal property / picnics 	A3I9FTHSULHPYS
Can I touch an animal at the zoo 	I do not know if you can touch an animal at the zoo 	AISE949ZZN8HA
When did companies first start to make tinned coffee 	I do not know when companies first started to make tinned coffee 	A2NI2HSU84PHJW
Does BAMPFA rent its facilities for private events 	I do not know if BAMPFA rents its facilities for private events 	A2LQ9NP944M61Z
I keep getting an error message when I try logging in to apply 	I do not know why you keep getting an error message when I try logging in to apply 	A11IEP7J8XSE1C
Can you check and see why I did not receive a statement last month 	I am not able to see why you did not receive a statement last month 	A31A4YKVSOYRVS	
Is everything that is available on FDsys available on govinfo 	I do not know if everything is on Govinfo 	A2NI2HSU84PHJW
Are pets allowed at Henry Ford Museum of American Innovation 	I do not know if pets are allowed at the Henry Ford Museum of American Innovation 	AISE949ZZN8HA
If I 'm coming with a group , do I need to make a reservation 	I do not know if you need to make a reservation 	A7SXWHGK8B40R
How will I know if there 's a schedule change that affects my itinerary 	I do not know if there 's a schedule change that affects your itinerary 	A7SXWHGK8B40R
How long does the process take 	I do not know how long the process takes 	A2LQ9NP944M61Z
Can I link to this website 	I do not know if you can link to the website 	A2RHBR7XZGUI1C
Is there a fee for an extra person 	I do not know if there is a fee for an extra person 	AD9O852KPYLHY	
I got my order but one of the items was missing when it arrived 	I do not know if one of your items is missing 	A1YKWG46AWMPUX	
Do you have any free days 	I do not know IF YOU have any free days	ATQD23E8ESFSI
My package is being shipped to the wrong address 	I do not know if your package is being shipped to the wrong address 	ASFR82SJYMGNU
Can I submit the paperwork online 	I do not know if you can submit the paperwork online 	A2YQAE441JMA7V	
If a new hire quits soon after he/she is eligible for the health care plan , is that employee -LRB- and dependents -RRB- eligible for COBRA even though the employee has not paid any premium yet 	I do not know if the new hire is eligible for COBRA if he or she quits soon after he or she is eligible for the health care plan and has not paid any premium yet 	A3UJE4WA5XADZS
Do you have gift cards 	I do not know if we have gift cards 	A31A4YKVSOYRVS	
What is parallelism 	I do not know what parallelism is 	A2ZBJWQ9ZZHYYI
Can I shop in the gift shop without paying admission 	I do not know if you can shop in the gift shop without paying admission 	A3U0VQ420HIMQ0
Can we go on every gallery during our visit 	I do not know if you can go on every gallery during the visit 	A2NI2HSU84PHJW
What or Who is Zohar 	I do not know what or who Zohar is 	A116N2LEI6O7HB
What 's the proper way to act while Court is in session 	I do not know the proper way to act while Court is in session 	A2115OWJ0CKOB3
When does collective bargaining between Princeton and our unions take place 	I do not know when collective bargaining between Princeton and our unions will take place 	A1NF93LWL8ABHH
Can I exchange items for store credit	I am not able to exchange items for store credit	A1SNC8UL8YFRH5
Can one Nut be used by another account after delete 	I am not able to tell you if one Nut can be used by another account after being deleted 	A1JBSFXMMRGSQD
I ordered my card 2 weeks ago , can you tell me when it would arrive 	I am not able to tell you when the card you ordered 2 weeks ago will arrive 	A325WS381BHOHH	
Do you offer delivery of the pool table inside the house 	I do not know if we offer delivery of the pool table inside the house 	A3GNQDFPZALU92	
Can I use gps to track my lost phone 	I do not know if you can use gps to track your lost phone 	ARCNENCVA0STW	
Are K-12 schools eligible for names in the . edu domain 	I do not know if K-12 schools are eligible for names in the . edu domain 	A1XNCA1SVTT15B
Do I need a US passport 	I do not know if you need a US passport 	A3RD486RQUI2XV
I 'd like to know the hours for your location in the airport please 	I do not know the hours for our location in the airport 	A3VV5FFG6GXE1S	
Who is eligible for an FY2018 merit increase 	I do not know who is eligible 	A1XNCA1SVTT15B
When is your dances season 	I do not know when the dances season is this year 	A13JQTLPWXZD6L
Where are your restrooms located 	I do not know where our restrooms are located 	A13GUTDMGGZZDL
How do I make a gift of art or film to BAMPFA 	I do not know how you make a gift of art or film to BAMPFA 	A3G2FBKYCRD5Q8
Do you offer free returns 	I do not know if we offer free returns 	ASFR82SJYMGNU
How do I know which level of class to take 	I do not know which level of class you should take 	A3P1SDBXCNU6C
Job Vacancies	I do not know of any job vacancies	A2TP3K1THK6XRB
where can I find your privacy policy 	I am not able to tell you where to find our privacy policy 	AE9M4Z1NCYSDM	
How was classification , as a learning machine , developed 	I do not know how classification , as a learning machine was developed 	A2K9PB0U45O0MU
What do I need to have ready at my school for Zoo on Wheels 	I do not know what you need to have ready for Zoo on Wheels 	A13GUTDMGGZZDL
Should I tip the delivery driver 	I do not know if you should tip the driver 	A2EAJXBORHT44T	
Did humans and dinosaurs live at the same time 	I do not know if humans and dinosaurs lived at the same time	A23CTGXNDDW5LC
Why am I asked to enter my phone number when making a purchase	I do not know why you are asked your phone number 	AJNQ2PBD07FKE
I would like a refund 	I am not able to to give you a refund 	A31A4YKVSOYRVS	
Are only workers who are currently pregnant protected under federal law 	I do not know if only workers who are currently pregnant are protected under federal law 	A1199EKUWHAKUQ
Will my refund be credited to the same credit card that I paid with	I do not know if your refund will be credited to the same credit card you paid with 	AJ7MWBQFNH3E4
Do service animals have to wear a vest or patch or special harness identifying them as service animals 	I do not know if service animals have to wear anything special to identify them as a service animal 	A3MBQX8F0IZO7S
Can I get technical assistance on the parts 	I am not able to provide technical assistance on the parts 	A1J0GU26323WVA
I think I get reciprocal admission to MSI . Can I use online ticketing 	I do not know if you can use online ticketing 	A13GUTDMGGZZDL
What are the best ways to get to the 9/11 Memorial and Museum 	I do not know the best ways to get to the 9/11 Memorial and Museum 	A3U0VQ420HIMQ0
Is the hardware to assemble the kit included 	I do not know if the hardware to assemble the kit is included 	AD9O852KPYLHY	
Is it possible to place my order over the phone 	I am not able to take your order over the phone 	AJKA9BKC011F2
Can I adjust an order after I already placed it	I do not know if you can adjust an order after you already placed it	A23CTGXNDDW5LC
Can I change my subscription 	I do not know if you can change your subscription 	A3I9FTHSULHPYS
Which third countries ' nationals are required to have a visa for entering Hungary 	I am not able to tell you which third countries nationals are required to have a Visa for Hungary	APF1EAZT104LQ
Can Dealer Teamwork update the specials for me 	I do not know if a Dealer Teamwork can update the specials for you 	A2K9PB0U45O0MU
What happens if I move and/or my address changed 	I do not know what happens if you move or your address changes 	A2NI2HSU84PHJW
When is my start date 	I do not know the start date 	A2NI2HSU84PHJW
Is there an age limit for the Mine Tour 	I do not know if there is an age limit for the Mine Tour 	A1BWNS27NA1JAP
When can I apply for a visa 	I do not know when you can apply for a visa	A23CTGXNDDW5LC
Can I change which store I will pick my order up from 	I do not know which store you will pick up your order from 	AKQ23WWJ57B8R	
Do active military personnel , firefighters , police officers or teachers get in free 	I do not know if active military personnel , firefighters , police officers or teachers get in free 	A3RD486RQUI2XV
What kind of advice can I get with My CDW Advantage 	I do not know what kind of advice you could get with My CDW Advantage 	APC99TPURUHR8
Can each family member have a different Primary Care Physician -LRB- PCP -RRB- 	I do not know if each family member can have a different Primary Care Physician 	A2NI2HSU84PHJW
What is the ' bucket ' 	I do not know what is the ' bucket ' 	A3I9FTHSULHPYS
How can I purchase a Senior Pass 	I do not know how to purchase a Senior Pass 	AI3HPZQC9GMBY
Does an employee need to be paid for down time during his or her shift when there is no work to be performed 	I do not know if an employee needs to be paid for down time during his or her shift when there is no work to be performed 	A2VIKCIM9TZL22
Can you tell me the last transaction I did 	I am not able to tell you what your last transaction was 	AE9M4Z1NCYSDM	
Which campuses are impacted by the closure 	I do not know which campuses are impacted by the closure 	A1F46RJTOXQM4J
Are dogs allowed in 	I do not know if dogs are allowed	ATQD23E8ESFSI
Is there an ATM	I do not know if there is an ATM 	A1JBSFXMMRGSQD
Is there anywhere to eat our picnic if it 's wet 	I do not know if there is anywhere to eat your picnic if it 's wet 	ADDRUVU9CWJTG
What methods of electronic payment are available 	I do not know what methods of electronic payment are available	APF1EAZT104LQ
Can I pay the visa fees in euros or with a check	I do not know if you can pay with euros , or a check	APF1EAZT104LQ
Is there a time limit within which an employer must recoup a wage overpayment 	I do not know if there is a time limit within which an employer must recoup a wage overpayment 	A3G2FBKYCRD5Q8
What forms do we file to report a loss on the sale of a rental property 	I do not know what forms you should file to report a loss on the sale of a rental property 	A3NZLRU95OULXB
Are there any special offers on 	I do not know if there are any special offers on 	A2TP3K1THK6XRB
How does it relieve me from too much workload 	I do not know how it relieves you from too much workload 	APC99TPURUHR8
What kinds of educational and outreach activities will you carry out while the museum is closed 	I do not know what kinds of educational and outreach activities will be offered while the museum is closed 	A2D0IIX70FDQIW
Can you match a price I just found somewhere else 	I do not know if we can match a price 	AD9O852KPYLHY	
Do you ship internationally 	I do not know if we ship internationally 	A13JQTLPWXZD6L
I would like to apply for your store credit card 	I do not know how to apply for our store credit card 	ASFR82SJYMGNU
What Should I Do If I Have Altitude Sickness 	I do not know what you should do if you have altitude sickness 	A13GUTDMGGZZDL
Do I have any upgrades available 	I do not know if you have any upgrades available 	A9LX66EQWDRQ5	
May a union employee demand to have a union representative present during an investigative interview 	I do not know if a union employee may demand to have a union representative present during an investigative interview 	AFS36YMNN8A2J
I checked out my cart but did not see the discount yet	I do not know how to see your discount after you have checked out your cart 	A1GAARR4GOOZCO	
Does your store carry any low VOC paint 	I do not know if our store carries any low VOC paint 	A31A4YKVSOYRVS	
Can you explain why the item is cheaper online than in store 	I am not able to explain why the item is cheaper online than in store 	A31A4YKVSOYRVS	
Is it possible to book a traveling zoo program for a birthday 	I do not know if it is possible to book a traveling zoo program for a birthday	A23CTGXNDDW5LC
Does your company use fair trade resources 	I do not know if your company uses fair trade resources 	A9LX66EQWDRQ5	
I have a package being shipped , are you able to check on its status 	I am not able to check on its status 	A185P3B2MC2K83
Can you send me a prospectus 	I am not able to send you a prospectus 	A325WS381BHOHH	
What is the length of study for MBA programs in the U.S. 	I do not know what the length of study is for MBA programs in the U.S	A1L1IRHUNKLN01
Can I bring my family with me to New Zealand 	I do not know if you can bring your family with you 	A13GUTDMGGZZDL
Is there a place to view your television ads online 	I do not know if there is a place to view our television ads online 	A2TP3K1THK6XRB
Where do the coaches go 	I do not know where coaches go 	AISE949ZZN8HA
Why is the shipping fee $ 32 	I do not know why the shipping fee is $ 32 	A16VTK6KZ1U69H
How do I get information about my ancestor who served on USS Constitution 	I do not know how you get information about your ancestor 	A2NI2HSU84PHJW
Will I be automatically charged if I do not cancel this product 	I do not know if you will be automatically charged if you do not cancel this product 	A325WS381BHOHH	
I would like to get an invoice sent along with my order 	I am not able to sent you an invoice along with your order 	ASFR82SJYMGNU
How does the application process work 	I do not know how the application process works 	A1A0PNOBFTTHGP
Does the Alf Museum have a gift shop 	I do not know if the Alf Museum has a gift shop 	A3G2FBKYCRD5Q8
When is the last day I can order to guarantee delivery before Christmas 	I do not know the last day you can order to guarantee delivery before Christmas 	A31A4YKVSOYRVS	
Will I be locked up in a hotel during the trial 	I do not know if you will be locked up in a hotel during the trial 	A7SXWHGK8B40R
Where can I go to sit in your chairs 	I do not know where you can go to sit in our chairs 	A3RD486RQUI2XV
How can I take a tour of UMBC 	I do not know how you can take a tour of UMBC 	A3I9FTHSULHPYS
Can someone please help me get this to my car 	I am not able to help you get this to your car 	AD9O852KPYLHY	
How do I contact LR 	I do not know how you contact LR 	A13GUTDMGGZZDL
What happens if both parties file cases at the same time 	I do not know what happens if bother parties file cases at the same time 	A3SS1F4F3JE7CU
How do I keep or change my Marketplace coverage for 2018 	I do not know how you could keep or change your Marketplace coverage for 2018 	A2VIKCIM9TZL22
I would like to get email updates for your new products 	I am not able to get you email updates for our new products 	AMYD8PNSBQ7C2
How do I get a printed copy of my tax return 	I do not know how you get a printed copy of your tax return 	ARCNENCVA0STW	
What is the targeted age range for the museum 	I do not know the targeted age range for the museum 	A3RD486RQUI2XV
Can I bring my dog/cat/pet with me to the Zoo 	I do not know if you can bring you pet to the zoo 	A13GUTDMGGZZDL
How specific do I need to be on employment dates on the application 	I do not know how specific you need to be on employment dates on the application 	A1JBSFXMMRGSQD
If a taxpayer adopts the child of his or her registered domestic partner as a second parent or co-parent , may the taxpayer -LRB- ' adopting parent ' -RRB- claim the adoption credit for the qualifying adoption expenses he or she pays to adopt the child 	I do not know if the taxpayer can claim the adoption credit for the qualifying adoption expenses 	A2K9PB0U45O0MU
How to estimate the distance between phone and Nut 	I do not know I do not know how you estimate the distance between phone and Nut 	A2K2MFQMN31DZ
Does my work have to be published to be protected 	I do not know if you work has to be published to be protected 	A1J0GU26323WVA
I need to return an item but I ca n't find the mechanism for doing that on your website . Can you help me with that 	I do not know how to help you find the mechanism on our website to return an item 	AE9M4Z1NCYSDM	
Can I rent Deepwood for a wedding or special event 	I do not know if you can rent Deepwood for a wedding or special event 	A1JBSFXMMRGSQD
Are there any other color options 	I do not know if there are any other color options	A23CTGXNDDW5LC
What is the difference between ' American Style ' and ' International Style ' 	I do not know the difference between ' American Style ' and ' International Style ' 	A2K9PB0U45O0MU
Who from customer service is available to help me 	I do not know who can help you from customer service	APF1EAZT104LQ
Are wheelchairs available at the Zoo 	I do not know if wheelchairs are available at the Zoo 	A1JBSFXMMRGSQD
Do I need to print my ticket	I do not know if you need to print your ticket 	A2NI2HSU84PHJW
What browser do I need to have the best experience with your website 	I do not know what browser you need to have the best experience with our website 	A1RVRBKEQL1ZPG
I need to pay my insurance premium over the phone , can you help me 	I am not able to help you pay your insurance premium over the phone	A23CTGXNDDW5LC
Are there any promotions available for current customers 	I do not know if there are any promotions available for current customers 	A1F04SJJSSWA1N
Can I get a copy of the vehicle maintenance records 	I do not know if you can get a copy 	A13GUTDMGGZZDL
How does General Delivery work 	I do not know how General Delivery works 	A10249252O9I20MRSOBVF
How does the free ADA-Recognized Disability admission work 	I do not know if the free ADA-Recognized Disability admits work 	A2HKTM4Z8652
I need you to give me my password 	I am not able to give you your password 	A3U6CLX7HD0SMF	
What is the process for ordering a solar panel system 	I do not know what the process for ordering a solar panel system is 	A31A4YKVSOYRVS	
Can you track my package 	I am not able to track your package 	A1J0GU26323WVA	
Can volunteering at the zoo lead to a paid position	I do not know if volunteering at the zoo leads to a paid position 	A2K9PB0U45O0MU
Is it possible to increase the number of participants 	I do not know if it is possible to increase the number of participants 	AZLZA0Q87TJZO
I ordered too many items , may I have one taken of please 	I am not able to take off an item 	A3U6CLX7HD0SMF	
What is the Graduate application review process 	I do not know what the graduate application review process	APF1EAZT104LQ
What are ' Featured Products ' 	I do not know what featured products are 	A13GUTDMGGZZDL
What should I wear for my lesson	I do not know what you should wear for your lesson 	A9LX66EQWDRQ5
What information will I get from my account manager in my initial call or email 	I do not know what information you will get from your account manager in your initial call or email 	A3U0VQ420HIMQ0
How long until the connection is back up and running 	I do not know when the connection will be back up 	A1HQRT1UG6ERGL
Will you bill my credit card automatically to renew or should I call 	I do not know if we will bill your credit card automatically to renew or if you should call 	ASFR82SJYMGNU
How much do you charge 	I do not know how much we charge 	A1J0GU26323WVA
How much longer is the insurance on my product 	I do not know how much longer the insurance on your product lasts 	A8F4B0854KTXO	
What is the best advice you can give me on returning an item that is damaged after a couple times being used 	I am not able to give you any advice 	A113OGTB578EF6	
How do I receive Master 's Degree pay 	I do not know how you receive Master 's Degree pay 	A13GUTDMGGZZDL
May an employer count the time when the business is closed due to inclement weather against an employee 's allotment of Family and Medical Leave Act -LRB- FMLA -RRB- leave 	I do not know if an employer may count the time when the business is closed due to inclement weather against an employee 's allotment of Family and Medical Leave Act -LRB- FMLA -RRB- leave 	A2EJ7U3TZAKROG
I need to edit my order , can you change the quantity to two instead of one 	I do not know if I can change the quantity to two instead of one 	A3GNQDFPZALU92	
What is the objective of MIP 	I do not know what the objective of MIP is 	A16VTK6KZ1U69H
Do I have to pay to park at the Art Museum 	I do not know if you have to pay to park at the Art Museum 	A1JBSFXMMRGSQD
What kind of grapes did I order	I do not know what kind of grapes you ordered 	A31A4YKVSOYRVS	
Has my direct deposit posted 	I do not know if your direct deposit has posted 	A325WS381BHOHH	
Will I receive ID cards for my health insurance plans ; if so , when 	I do not know if if you will receive ID cards for your health insurance plans 	A3I9FTHSULHPYS
Will being an organ donor affect my medical care 	I do not know if being an organ donor affects your medical care 	A3CL6GEDFNQGQY
May an employer terminate an employee who exhausts Family and Medical Leave Act -LRB- FMLA -RRB- leave and does not return to work 	I do not know if an employer can terminate an employee who exhausts Family and Medical Leave Act -LRB- FMLA -RRB- leave and does not return to work 	APC99TPURUHR8
Who can help if I 've forgotten my login information 	I do not know who can help you if you 've forgotten your login information 	A7SXWHGK8B40R
how can I track my package once it 's been shipped	I do not know how to track your package once shipped 	AJ7MWBQFNH3E4
If a candidate is found ineligible for employment based on the results of the background check , who may the department contact for further information 	I do not know who the department can contact for further information if a candidate is found ineligible for employment based on the results of the background check 	A1199EKUWHAKUQ
What does Museum entry include 	I do not know what museum entry includes 	ADDRUVU9CWJTG
Does the ' Self Disclosure ' portion of the policy apply to new employees 	I do not know if the ' Self Disclosure ' portion of the policy applies to new employees 	A3U0VQ420HIMQ0
If a zoo is part of a bigger attraction -LRB- eg a theme park -RRB- does the inspection take account of / inspect any of the non-zoo part of the attraction 	I do not know if the inspection takes account of/inspects any of the non-zoo part of the attraction if a zoo is part of a bigger attraction 	A2HKTM4Z8652
Where will my refund go 	I do not know where your refund will go 	A2K9PB0U45O0MU
Can I use coupons on top of the discount 	I do not know if you can use coupons on top of the discount 	A3RD486RQUI2XV
What about health , medicines , vaccinations 	I do not know about health , medicines , or vaccinations 	A1AF392CLGHH0X
Can we use our two Basic 5 Cards to admit ten people 	I do not know if you can use your two Basic 5 Cards to admit ten people 	A1JBSFXMMRGSQD
I do not see my Employer or Education institution to add to my profile . How do I add them to my profile 	I do not know how you add them to your profile	A23CTGXNDDW5LC
I 'm unhappy with your service and want to delete my account 	I am not able to delete your account 	AJNQ2PBD07FKE
Do I need to register each single-patient investigational new drug application -LRB- IND -RRB- or protocol exception -LRB- including for emergency use -RRB- separately 	I do not know if you need to register each single-patient investigational new drug application -LRB- IND -RRB- or protocol exception -LRB- including for emergency use -RRB- separately 	A116N2LEI6O7HB
How do I redeem my benefit of free guest All Museums passes 	I do not know how you redeem your benefit of free guest All Museums passes 	A3RD486RQUI2XV
Can we take pictures in the museum 	I do not know if you can take pictures at the museum 	A2LQ9NP944M61Z
How long does it take to visit Henry Ford Museum of American Innovation 	I do not know how long it takes	AXY0D2AMLKE2A
How much do UltraViolet movies and TV shows cost 	I do not know how much UltraViolet movies and TV shows cost 	ARKAJ6PL85CME
Will the new Berkshire Museum be handicapped accessible 	I do not know if the new Berkshire Museum will be handicapped accessible 	A7SXWHGK8B40R
How do I open a business checking account 	I do not know how you open a business checking account 	A1YKWG46AWMPUX	
Can I request a donation from Mandalay Bay 	I do not know if you can request a donation 	A13GUTDMGGZZDL
Can I block callers 	I do not know if you can block callers 	APC99TPURUHR8
Can you throw away old background check information your company has obtained , including application forms and consumer reports 	I am not able to throw away old background check information my company has obtained , including application forms and consumer reports 	A18KR781AUQBA6
I want to screen the film in my home . Do I still need to buy a license 	I do not know if you still need to buy a license to screen the film in your home 	A2VFX3J4B1I22X
Can I cancel the auto renewal on my subscription 	I do not know if you can cancel the auto renewal on your subscription 	A3SSJNH5SIZUPG	
Do you hire out wheelchairs , mobility scooters or pushchairs 	I am not able to hire out wheelchairs , mobility scooters , or pushchairs 	ARKAJ6PL85CME
What is the APR on your financial option 	I do not know what the APR on our financial option is 	A31A4YKVSOYRVS	
Checking out is not working through my iPad 	I do not know why checking out is not working through your iPad 	A185P3B2MC2K83
Are authority records available as linked data 	I do not know are authority records available as linked data 	A3SS1F4F3JE7CU
Can visitors park in the streets around the Zoo 	I do not know if visitors can park in the streets around the zoo 	A13GUTDMGGZZDL
What social media channels does Kemppi use 	I do not know what social media channels Kemppi uses 	APC99TPURUHR8
Where can I confirm my ANA SKY COIN balance 	I do not know where you can confirm your ANA SKY COIN balance 	A2K9PB0U45O0MU
Will my visitor pass grant me access to the Memorial and Museum 	I do not know if your visitor pass will grant you access to the Memorial and Museum 	A2VIKCIM9TZL22
How do I brew pu-erh 	I do not know how you brew pu-erh 	A2TP3K1THK6XRB
Is there a charge for parking 	I do not know the charge for parking 	A7SXWHGK8B40R
Will I have to pay customs on my package 	I do not know if you will have to pay customs on your package 	AD9O852KPYLHY	
Can adults come into the Museum without a child 	I do not know if adults can come to the museum without a child 	A13GUTDMGGZZDL
How do I exchange an order I purchased online 	I do not know how you can exchange your order 	A3VV5FFG6GXE1S	
