Do you know how long before my order ships 	I do not know how long before your order ships	A23CTGXNDDW5LC	
How many days will it take for my package to be delivered 	I do not know how many days it will take for your package to be delivered 	APC99TPURUHR8
Can I have an independent inspection done on the car before I buy it 	I do not know if you can have an independent inspection done 	A2NI2HSU84PHJW
How does someone who holds two positions at the college enter their time 	I do not know how someone who holds two positions at the college enters their time 	A2MISBKRBT4AUA
What are we looking for as verification of registration with Selective Service 	I do not know what you are looking for as verification of registration with Selective Service 	A1J0GU26323WVA
What is the phone number of your locate chain store 	I do not know the phone number of our locate chain store 	A8F4B0854KTXO	
How do I get a mobile phone and set up voicemail 	I do not know how you get a mobile phone and set up voicemail	A23CTGXNDDW5LC
If I buy the item online , can I return it in store if I 'm not satisfied 	I do not know if you can return the item in store if you 're not satisfied 	A31A4YKVSOYRVS	
How does the process actually work 	I am not able to tell you how the process actually work 	A355BVFIOODRH2
Who said , ' Thou shall not be a perpetrator ; thou shall not be a victim ; and thou shall never be a bystander ' 	I do not know who said : ' Thou shall not be a perpetrator ; thou shall not be a victim ; and thou shall never be a bystander ' /	A31JM9RECQGYEX
My account is locked , how do I get back in 	I do not know how you get back in if your account is locked 	A2HKTM4Z8652
Can I please have help setting up my bluetooth 	I am not able to help you set up your bluetooth 	AE9M4Z1NCYSDM	
I wanted to buy this item but it 's sold out online . When might it be restocked 	I am not able to tell you when the sold out online item might be restocked	AYJGJAIY0EXW
Is it all possible to fulfill my request in a timely and reasonable fashion 	I do not know if it is all possible to fulfill your request in a timely and reasonable fashion	A23CTGXNDDW5LC	
I do not want to be in the customer rewards program anymore . how do I opt out 	I do not know how you opt out	A23CTGXNDDW5LC
How large should my water stand be 	I do not know how large your water stand should be 	A3RD486RQUI2XV
How can I send a gift or flowers to a patient 	I do not know how you can send a gift or flowers to a patient 	A3U0VQ420HIMQ0
Do you have places to eat , or can I bring my own food into the museum 	I do not know if we have places to eat , or if you can bring your own food into the museum 	A3I9FTHSULHPYS
When are salary increases effective 	I do not know when salary increases are effective	APF1EAZT104LQ
How many of these do you have in stock 	I do not know how many we have in stock 	A1YKWG46AWMPUX	
What happens if I want to come to the museum on a blackout date 	I do not know what happens if you want to come to the museum on a blackout date	A23CTGXNDDW5LC
Would HR Alternatives be actually replacing my current HR staff or management 	I do not know if HR Alternatives would be actually replacing your current HR staff or management 	A2HKTM4Z8652
Do you guys do price-matching 	I do not know if we do price-matching 	A31A4YKVSOYRVS	
How often are Travel Advice and Advisories pages revised 	I do not know how often Travel Advice and Advisories pages are revised 	A2D0IIX70FDQIW
Can I purchase the engagement ring in installments 	I do not know if you can purchase an engagement ring in installments 	A3SSJNH5SIZUPG	
Where is the best place to park 	I do not know where the best place to park is 	A2EJ7U3TZAKROG
Which browsers do you recommend 	I do not know which browser to recommend 	A2TP3K1THK6XRB
How do I get my money back if I used a check for the item I purchased and want to return 	I do not know how you get your money back if you used a check 	A3VV5FFG6GXE1S	
What are the hours of the Museum and the Glass Studio 	I do not know what the hours are of the Museum and the Glass Studio 	A2HKTM4Z8652
Can I take photos on the tour 	I do not know if you can take photos on the tour 	A2NI2HSU84PHJW
Are there designated smoking areas in the Zoo 	I do not know if there are designated smoking areas in the Zoo	A23CTGXNDDW5LC
What about the weather 	I do not know about the weather 	A13GUTDMGGZZDL
Can you tell me where my order is 	I am not able to tell you where your order is 	AJKA9BKC011F2
What is the definition of minimum wages 	I do not know the definition of minimum wages 	A2NI2HSU84PHJW
I have several accounts , can they be purged or deleted 	I do not know if your accounts can be purged or deleted 	APC99TPURUHR8
What can my family do at C'MON	I am not able to tell you what your family can do at C'mon 	AT7ADQKXKXEWY
Does Columbia provide fee waivers for the CSS Profile 	I do not know if Columbia provides fee waivers for the CSS Profile 	A1JBSFXMMRGSQD
How do bivalve shellfish reproduce 	I do not know how bivalve shellfish reproduce 	A1IPD4WBT3A5GG
What immunizations are required for sixth graders 	I do not know the required immunizations for sixth graders 	A2VIKCIM9TZL22
How does TurboTax work 	I do not know how TurboTax works 	APC99TPURUHR8
What should I pack for clothing , is there a dress code in the show rooms 	I do not know if there is a dress code in the show rooms 	A3RD486RQUI2XV
How much are entry tickets for the State Hermitage Museum 	I do not know the price of entry tickets for the State Hermitage Museum 	A2K9PB0U45O0MU
Do you offer any sort of military discount 	I do not know if we offer any sort of military discount 	A31A4YKVSOYRVS	
How long is the warranty on this 	I do not know how long the warranty is on this 	A3RD486RQUI2XV
When does overtime start accruing for part-time employees 	I do not know when overtime starts accruing for part-time employees	A1CMT9MVUO52VP
If Administrative & Professional -LRB- A&P -RRB- faculty move to a University Staff position can they retain A&P status 	I do not know if Administrative & Professional -LRB- A&P -RRB- faculty can retain A&P status if they move to a University Staff position 	A1X3SF2W1QQBY1
We would like to make reservations for a group of eight , can you reserve the table by the fireplace 	I am not able to reerve the table by the fireplace	A23CTGXNDDW5LC
What is a deductible/co pay/coinsurance , etc. . 	I do not know what deductible/co pay/co insurance is 	A2LQ9NP944M61Z
My item was damaged in the mail 	I am not able to assist you with your item damaged in the mail 	A2PKDWREQV1JTR
We are a family group of 5 wanting entrance tickets to the Vatican . 3 are over 18 and 2 under . It is unclear whether I should book for the under 18 separately as although I mentioned all 5 names in the group space , the quoted price seems to be only for the over 18 . Pls advise	I do not know if you should book for the under 18 separately 	A3UJE4WA5XADZS
Could you put this item on hold for me please 	I am not able to put this item on hold for you 	A2EAJXBORHT44T	
Do I need to include courses taken while I was in middle school/junior high school 	I do not know if you can include courses taken while you were in middle school/junior high school 	A1J0GU26323WVA
Are shoes required 	I do not know if shoes are required 	A2TP3K1THK6XRB
Does the online paycheck view take the place of my paper checks and check advices 	I do not know if the online paycheck view takes the place of your paper checks and check advices 	A16VTK6KZ1U69H
Do you carry other models from this brand 	I do not know if we carry another model from that brand 	AJNQ2PBD07FKE
Where can I get some puppets made 	I do not know where you can get some puppets made 	A18KR781AUQBA6
I need a copy of my contract please 	I am not able to give you a copy of your contract 	A9LX66EQWDRQ5	
Should an employer have a no dating policy 	I do not know if an employer should have a no dating policy 	AWAW665TQQP2F
Is this a rain or shine event 	I do not know of the event 	A3722NOMVUK89T
What is SMoCA Lounge 	I do not know what SMoCA Lounge is 	A7SXWHGK8B40R
Do you require SAT/ACT 	I do not know if we require SAT/ACT 	A3L8LSM7V7KX3T
Can I put my account on hold for a few months 	I am not able to put your account on hold for a few months 	A9LX66EQWDRQ5	
If the balance in my TravelBank exceeds my ticket price , what happens to the balance 	I do not know what happens to your balance if the balance in your TravelBank exceeds the ticket price 	A2EJ7U3TZAKROG
Does this store offer a layaway program 	I do not know if this store offers a layaway program 	ASFR82SJYMGNU
What is the ticketing policy for First Fridays 	I do not know the ticketing policy for First Fridays 	A2K9PB0U45O0MU
Can I schedule a payment arrangement 	I do not know if you can schedule a payment arrangement	A23CTGXNDDW5LC	
I 'm going overseas and I need to change my service 	I am not able to help if you are going overseas and need to change your service 	AE9M4Z1NCYSDM	
Do you have a restroom or a changing room 	I do not know if we have a restroom or changing room 	A1JBSFXMMRGSQD
Do you offer group rates for field trips 	I do not know the group rates for field trips 	A2NI2HSU84PHJW
Does Intel charge run-time fees or royalties for its libraries 	I do not know if Intel charges run-time fees or royalties for its libraries	A23OS0HQ12VVOR
How much would I have to pay to upgrade to first class 	I do not know how much you would have to pay to upgrade to first class 	AD9O852KPYLHY	
How do I check on the status of my order 	I do not know how you check on the status of your order 	A3RD486RQUI2XV
If my order has n't shipped yet can I add another item to it 	I do not know if you can add another item if your order has n't shipped yet 	A31A4YKVSOYRVS	
I will be coming straight from the airport . Are there lockers or some way to store my bag while I visit the Museum 	I do not know if there are lockers or some way to store your bag while you visit the Museum 	A116N2LEI6O7HB
Do you offer group discounts 	I do not know if we offer group discounts 	A3RO0QIXW4IX3Y
I 'd like to know the major differences between these two products 	I do not know the major differences between these two products 	A31A4YKVSOYRVS	
Can I use a detail of a CC0 image in my publication 	I do not know the details of a CC0 image in your publication 	A2NI2HSU84PHJW
What insurance information should I bring upon my visit to the hospital as an in patient 	I do not know what insurance information you should bring upon your visit to the hospital as a patient 	A8O98QNRG9SHV
What is my account balance 	I do not know what your account balance is 	A31A4YKVSOYRVS	
Can I pay by card and is there a minimum spend 	I do not know if you can pay by card or if there is a minimum spend 	A1X3SF2W1QQBY1
Where can I get copies -LRB- reproductions -RRB- of the Charters of Freedom 	I do not know where you can get copies -LRB- or reproductions -RRB- of the Charters of Freedom 	A2223XYV804AY7
Who provides care 	I do not know who provides care 	A1BWNS27NA1JAP
I need to change the date of my monthly payment from the 1st to the 15th of each month 	I am not able to change the date of your monthly payment from the 1st to the 15th of each month 	A3GNQDFPZALU92	
When can I apply for assistance 	I do not know when you can apply for assistance 	A3O4VPJT4GOBMB
What are the differences in the shipping prices and days 	I do not know the difference in shipping prices and days	A224I9B6RFJZEI	
Following discussions about a grievance , the employee walked out claiming that I forced them to resign . Should I be concerned	I do not know if you should be concerned	A23CTGXNDDW5LC
Where can I find my Jury ID and Group Number 	I do not know where you might find your Jury ID and Group Number	A13JQTLPWXZD6L
Do you offer any sort of discounts for customers on their birthday 	I do not know if we offer any sort of discounts for customers on their birthday 	A112W2FKT6UT62
I need to reset my username , can you help me with that 	I am not able to reset your username 	AQGBE43JMWHSR
If I place two orders separately will you combine shipping to the same address 	I do not know if two separate orders can combine to ship to the same address 	AE9M4Z1NCYSDM	
Can I purchase a right-hand-drive Kia 	I do not know if you can purchase a right-hand-drive Kia 	A1AF392CLGHH0X
How high are those Statewide Progressive Jackpots like Megabucks 	I do not know how high the Statewide Progressive Jackpots are 	A1XNCA1SVTT15B
What are the hours of operation 	I do not know the hours of operation 	A235UQRA8GE18X
This product did n't get to me in time and I needed it for an event , I need reimbursed	I am not able to reimburse you for the product not getting to you in time 	A3GNQDFPZALU92	
When is the current sale going to be ending 	I do not know when the current sale is going to end 	A3VV5FFG6GXE1S	
How can I learn more about the employee benefits offered by Fairfax County 	I do not know how you can learn more about the employee benefits offered by Fairfax County	ATQD23E8ESFSI
Can I join the union , if applicable , before getting hired 	I do not know if you can join the union , if applicable , before getting hired 	A3I9FTHSULHPYS
When should I submit my documents for the I-20 Certificate of Eligibility 	I do not know when you should submit your documents for the I-20 Certificate of Eligibility 	A1JBSFXMMRGSQD
Do you have classes for Adults 	I am not able to tell you if we have classes for Adults 	A2UBEPT605E8T2
How long does it take to update my specials 	I do not know how long it takes to update your specials	A23CTGXNDDW5LC
Can you provide a breakdown of how many DACA EADs expire in 2017 , 2018 , and 2019 	I am not able to provide a breakdown 	A13GUTDMGGZZDL
Whom can I contact with feedback about my hospital stay 	I do not know who you can contact with feedback about your hospital stay 	A3RD486RQUI2XV
Can I make this a recurring order on set dates 	I do not know if you can make this a recurring order on set dates 	A31A4YKVSOYRVS	
Can I have some phone numbers for use later to contact this office or the main office 	I do not know some phone numbers for use later to contact this office or the main office	A23CTGXNDDW5LC	
What if I do n't have my OHIO ID and password 	I do not know what to do if you do n't have your ID and password 	A2NI2HSU84PHJW
Is half or full board available 	I do not know if half or full board is available 	A2EJ7U3TZAKROG
What is CMA and what can my family do there 	I do not know what the CMA is 	A15UV2T9GKXSI4
I am a journalist researching a story 	I do not know about this topic 	A13GUTDMGGZZDL
Are they required to be potty trained 	I do not know if they are required to be potty trained 	A2K2MFQMN31DZ
What is Creative Commons Zero -LRB- CC0 -RRB- 	I do not know what the Creative Commons Zero -LRB- CCO -RRB- is 	A2K9PB0U45O0MU
What features are offered with your new product line 	I do not know features offered with new product line 	AJNQ2PBD07FKE
What are the monthly access charges for smartphones , tablets and mobile hotspots on the Verizon Plan , and why are some of them different 	I do not know the monthly access charges for smartphones , tablets , and mobile hotspots on the Verizon Plan , or why some of them are different 	APC99TPURUHR8
How can I become a member of the Wildlife Conservation Society	I do not know how you can become a member of the Wildlife Conservation Society 	A2TP3K1THK6XRB
It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
Where can I do my banking , now that my former branch has closed down 	I do not know where you can do your banking now that your former branch has closed down 	A3GNQDFPZALU92	
How can I find a good all inclusive vacation package 	I do not know how you can find a good all inclusive vacation package 	A8F4B0854KTXO	
Is my membership tax deductible 	I do not know if your membership is tax deductible 	A2NI2HSU84PHJW
I have already been to Germany , can I use the same visa for a trip to another Schengen state 	I do not know if you can use the same visa for a trip to another Schengen state if you have already been to Germany 	AZLZA0Q87TJZO
Can you look for this in another color in the back 	I am not able to look for this in another color in the back	A23CTGXNDDW5LC	
Is it possible for my item to be delivered on the release date 	I do not know if the item will be delivered on the release date 	A1YKWG46AWMPUX	
If I want my product here by Friday , which shipping method should I select 	I do not know which shipping method you should select 	ASFR82SJYMGNU
Could I request a refund on the credit in my invoice 	I am not able to issue a refund on the credit in your invoice 	A9LX66EQWDRQ5	
When must an employer include the fair market value of an employee 's personal use of a company-provided cell phone in the employee 's taxable income 	I do not know when an employer must include the fair market value of an employee 's personal use of a company-provided cell phone in the employee 's taxable income 	A2NI2HSU84PHJW
Where can I change my password on the site 	I do not know where you can change your password on the site 	A31A4YKVSOYRVS	
What is not included in the definition of clothing 	I do not know what is not included in the definition of clothing 	A1JBSFXMMRGSQD
What is a ' Course ' 	I do not know what a Course is 	A18KR781AUQBA6
Is this the only package you offer 	I do not know if this is the only package we offer 	A8F4B0854KTXO	
Are there food and drinks provided for ArtScience Late 	I do not know if food and drinks are provided for ArtScience Late 	A1IPD4WBT3A5GG
What is the difference between Saver and Everyday Awards 	I do not know the difference between Saver and Everyday Awards 	A1JBSFXMMRGSQD
Where can I PICK UP TICKETS BEFORE THE PAVILION STAGE PERFORMANCE	I do not know where to pick up tickets before the pavilion stage performance 	A3GVKU8KSX3RZU
I ca n't find my bill due date 	I do not know the due date of your bill 	AEXWOFM1LGS6U
Is there a way to purchase postage using the website or mobile app so I do n't have to go out to the post office 	I do not know if there is a way to purchase postage on the website or mobile app 	AD9O852KPYLHY	
Does the definition of applicable clinical trial under FDAAA 801 only include studies conducted under an FDA Investigational New Drug Application -LRB- IND -RRB- or Investigational Device Exemption -LRB- IDE -RRB- 	I do not know if the definition of applicable clinical trial under FDAAA 801 only includes studies conducted under an FDA Investigational New Drug Application or Investigational Device Exemption 	A1JBSFXMMRGSQD
Last week I purchased a top for $ 50 dollars and now it 's on sale for $ 30 	I do not know what to do if you purchased a top for $ 50 dollar and now it 's on sale for $ 30 	ASFR82SJYMGNU
How do I use my Member Pass cards for my free museums admission and discounts 	I do not know how you use your member pass cards for free museum admission and discounts 	A2K2MFQMN31DZ
What is the construction happening at the Museum 	I do not know what the construction happening at the Museum is 	A1X3SF2W1QQBY1
I was wondering if your candies are made in nut-free facilities 	I am not able to tell you if our candies are made in nut free places	APF1EAZT104LQ
What does the 'D ' in D-Day mean 	I do not know what the 'D ' in D-Day means 	ARKAJ6PL85CME
When do I need to submit my claim form 	I do not know when you need to submit your claim form	ABWW1P7GZ4C0Z
I need a Notary Public , is there someone here at the college 	I do not know if there is someone here at the college 	A1XNCA1SVTT15B
Why are there ads in your app ? Is there a way for me to get rid of them 	I do not know why there are ads on the app or how to get rid of them 	A31A4YKVSOYRVS	
How do I get payroll to change my name 	I do not know how you can get payroll to change your name 	AT7ADQKXKXEWY
Can I get the red paint with the black stripes 	I do not know if you can get the red paint with the black stripes 	A9LX66EQWDRQ5	
Where is the zoo located 	I do not know where the zoo is located 	A16VTK6KZ1U69H
What other exhibits do you have at the Museum 	I do not know what other exhibits we have 	A13GUTDMGGZZDL
Are items ready to be shipped or made to order 	I do not know if items are ready to be shipped or made to order 	A1JBSFXMMRGSQD
Payment and pricing - are there any reduced tickets 	I do not know if there are any reduced tickets 	AT7ADQKXKXEWY
How many employees are in the National Park Service 	I do not know how many employees are in the National Park Service 	A16VTK6KZ1U69H
When will the new model be released 	I do not know when the new model will be released 	AD9O852KPYLHY	
Are there any fees for transfers between accounts 	I am not able to tell you if there are any fees for transfers between accounts	APF1EAZT104LQ
Do I have to offer the same benefits to all employees 	I do not know if you have to offer the same benefits to all employees 	A1JBSFXMMRGSQD
What is required for the issue or extension of a residence permit 	I do not know what is required for the issue or extension of a residence permit 	A1J0GU26323WVA
Is the museum available for event rental or weddings 	I do not know if the museum is available for event rental or weddings 	A2EJ7U3TZAKROG
I already have an AdWords company , why do I need you to manage my campaigns 	I do not know why you need me to manage your campaigns 	A2NI2HSU84PHJW
can I use a physical gift card as payment for an online order	I do not know if you can use a physical gift card as payment for an online order	A23CTGXNDDW5LC
Which museums are participating 	I do not know which museums are participating 	A2K9PB0U45O0MU
I think I accidentally selected the wrong size , how do I change my order 	I am not able to to change the size on your order 	AJNQ2PBD07FKE
What is your return policy 	I do not know what our return policy is 	A1J0GU26323WVA
What if my goods arrive broken 	I do not know what to do if your goods arrive broken 	APC99TPURUHR8
What products does CDW offer 	I do not know what products CDW offers 	A9LX66EQWDRQ5
Is there any way my rate can be lowered 	I am not able to tell you if there is any way your rate can be lowered 	A3G2FBKYCRD5Q8	
Can I preorder these televisions 	I do not know if you can preorder the televisions 	AD9O852KPYLHY	
What are the hospital visiting hours & policies 	I do not know what the hospital visiting hours & policies are 	A1Z9FHDWNXG2SK
Are baby strollers permitted in the Museum 	I do not know if baby strollers are permitted in the Museum 	A234VIHHUHPZG5
What benefits does your store offer if I apply for store credit card 	I do not know what benefits our store offers if you apply for the store credit card 	A3GNQDFPZALU92	
How do you decide how much to charge for shipping 	I do not know how we decide how much to charge for shipping	A23CTGXNDDW5LC	
Is your company offering any deals to new customers at the moment 	I do not know if our company is offering any deals to new customers at the moment 	A185P3B2MC2K83
What happens if I have a lapse in coverage in 2015 	I do not know what happens if you have a lapse in coverage in 2015 	A3RD486RQUI2XV
Will I have to pay a fee if I cancel my subscription early 	I do not know if you will have to pay a fee 	AMW07CJC3OJIB
What is the difference between Pre-Ballet and ballet 	I do not know the differences between Pre-Ballet and ballet 	A2K9PB0U45O0MU
Can I see the animals being fed 	I do not know if you can see the animals being fed 	A13GUTDMGGZZDL
Do I have to be a MileagePlus member to book flights on united.com 	I do not know if you have to be a MileagePlus member to book flights on united.com 	A2UBEPT605E8T2
How do I obtain warranty support on my AT&T product 	I do not know how to obtain warranty support on my AT&T product 	A2NI2HSU84PHJW
Does SAM have a coat check 	I do not know if SAM has a coat check 	A2EJ7U3TZAKROG
Can I speak with the bot that I was speaking to earlier today 	I am not able to let you speak with anyone else 	AD9O852KPYLHY	
Do you guys have a mobile app 	I do not know if we have a mobile app 	A2IXBTOWQRCLPZ	
Where do I go to change my shipping address 	I do not know where you go to change your shipping address 	A325WS381BHOHH	
What does the ' autoPROS Certified Warranty ' include 	I do not know what the ' autoPROS Certified Warranty ' includes 	A2D0IIX70FDQIW
Who should I address my cover letter to 	I do not know to whom you should address your cover letter 	A1HLG5NN2I16GN
Are there food and drinks provided for Conversations 	I do not know if there are food and drinks provided for conversations 	A2VIKCIM9TZL22
Do n't the animals get cold in the winter 	I do not know if animals get cold in the winter 	A2K9PB0U45O0MU
What fish species do you study at the NEFSC 	I do not know what fish species I study at the NEFSC 	A2RHBR7XZGUI1C
How do I view my membership details such as level , expiration date , and reciprocal membership privileges 	I do not know how you can view your membership details such as level , expiration date , and reciprocal membership privileges 	A2K9PB0U45O0MU
Does ARIA Offer a Day Pass to the Pool Area for Non-Guests 	I do not know if ARIA offers a Day Pass to the Pool Area for Non-Guests 	A31JM9RECQGYEX
Do you offer classes for adults 	I do not know if we offer classes for adults 	A3SS1F4F3JE7CU
How long is my Member Pass valid 	I do not know how long your member pass is valid 	A27MJOV91GA8R3
Can you connect me to someone in billing 	I am not able to connect you to someone in billing 	ASFR82SJYMGNU
Are there restaurants in the museum 	I do not know if there are restaurants in the museum 	A11IEP7J8XSE1C
What is your refund policy 	I do not know the refund policy 	AYJGJAIY0EXW
Why would I need to have the Enhanced Service and what does it cost 	I do not know why you would need to have the Enhanced Service and what it cost	ATQD23E8ESFSI
Is it possible to visit with two groups at the same time 	I do not know if it 's possible to visit with two group at the same time 	A18RMWE4BKHG6R
What is the deadline for registering my clinical trial in clinicaltrials.gov 	I do not know the deadline for registering your clinical trial in clinicaltrials.gov	A2K9PB0U45O0MU
Ca n't find the answer to your question 	I am not able to help if you ca n't find the answer to our question 	A1JBSFXMMRGSQD
What is SB 1301 	I do not know what SB 1301 is 	A2HKTM4Z8652
How do I find out when my court date is 	I do not know how you find out when your court date is 	A235UQRA8GE18X
Do homeschooled students self-report coursework and grades 	I do not know if homeschooled students self-report their coursework and grades 	A2LQ9NP944M61Z
What do I do if I need to drop a class	I do not know what you do if you need to drop a class	A23CTGXNDDW5LC
My wallet was stolen ! Can someone else use my membership 	I do not know whether someone else can use your membership 	A3U6CLX7HD0SMF
Are there other ' spy ' museums 	I do not know if there are other spy museums 	A1JBSFXMMRGSQD
Is there unstructured time 	I do not know if there is unstructured time 	A2K2MFQMN31DZ
I 'd like to sign up for this membership program , how do I do this 	I do not know how you would sign up for this membership program 	A30YFEIPGXNWJL
What day is my next payment due 	I do not know when your next payment is due 	A39MLQY9HOG1S6
Is the enamel surface scratch-resistant 	I do not know if the enamel surface is scratch-resistant 	A2HKTM4Z8652
How far in advance can I reserve a museum visit 	I do not know how far in advance you can reserve a museum visit 	A1X3SF2W1QQBY1
Can we take photographs 	I do not know if you can take photographs 	A3I9FTHSULHPYS
How can I add an item to my order 	I am not able to add an item to your order 	A1YKWG46AWMPUX	
Can I access my car once in the Zoo 	I do not know if you can access your car once in the zoo 	A2NI2HSU84PHJW
We live outside of the city of Grand Rapids . Can my child still attend 	I am not able to tell you if your child can still attend	APF1EAZT104LQ
Where is ' Meet the Animals ' 	I do not know where ' Meet the Animals ' is 	A8O98QNRG9SHV
Can I sit in on my child 's private music lesson 	I do not know you can sit in on your child 's private music lesson 	A16184N1RO5OJV
Has your company ever been hacked and had customer data stolen 	I do not know if my company has ever been hacked and had customer data stolen	A23CTGXNDDW5LC
May I have permission to link to your websites 	I am not able to give you permission to link to our websites 	A2VIKCIM9TZL22
Does the exemption apply to repairs , alterations , or items for rent 	I do not know if the exemption applies to repairs , alterations , or items for rent 	A3SS1F4F3JE7CU
What about restroom facilities 	I do not know about restroom facilities 	A2LQ9NP944M61Z
What subjects do you offer 	I do not know what subjects we offer 	A1J0GU26323WVA
My package arrived damaged ; is there anything you can do about that 	I am not able to do anything about your damaged package 	A3RD486RQUI2XV
WHAT IS THE COST OF ADMISSION TO MUSEUM	I do not know the cost of the admission to the museum 	A2LQ9NP944M61Z
How does ITT 's closure impact my federal Direct Loan limitations 	I do not know how ITT 's closure impacts your federal Direct Loan limitations 	A7SXWHGK8B40R
What happens if I get sick in North Korea 	I do not know what happens if you get sick in North Korea 	A16NITTBMCSN0V
What if I have been home schooled 	I do not know what occurs if you have been home schooled 	A1JBSFXMMRGSQD
Would it be possible to get my purchase gift wrapped 	I do not know if you can get it gift wrapped 	A113OGTB578EF6	
Can a purchase a monthly pass for the train 	I do not know if you can purchase a monthly pass for the train 	A31A4YKVSOYRVS	
How can I send an email with a question to Chrysler Capital 	I do not know how you can send an email with a question to Chrysler Capital 	A2EJ7U3TZAKROG
What types of scholarship are available 	I do not know what types of scholarship are available 	A2NI2HSU84PHJW
How to renew/upgrade my membership 	I do not know how to renew/upgrade your membership 	A2NI2HSU84PHJW
Does this car have a back up camera 	I do not know if this car has a back up camera 	A9LX66EQWDRQ5	
How can I book a group visit 	I do not know how you can book a group visit 	A3G2FBKYCRD5Q8
How can I reprint my check stub 	I do not know how you can reprint your check stub 	A1S8DYWNS59XWB
What services do you provide for home health 	I do not know what services we provide for home health	APF1EAZT104LQ
Are extra beds/rollaway beds available 	I do not know if extra beds or rollaway beds are available 	A13GUTDMGGZZDL
Can I get my friend 's wristband 	I do not know if you can get your friend 's wristband 	A2HKTM4Z8652
What if I get more than one bill 	I do not know what you should do if you get more than one bill 	A325WS381BHOHH
What is the difference between this insurance plan and your newest one 	I do not know the difference between this insurance plan and the newest one 	A30YFEIPGXNWJL
Can adults try on replica dress too 	I do not know if adults can try on the replica dress too 	A5VBIZ2KIQ1R8
How do I get to the Museum by bus , subway , or car 	I do not know how to get to the Museum by bus , subway , or car 	APC99TPURUHR8
Can you tell me if there is any way I can save some money on my monthly services 	I am not able to tell you if there is any way you can save some money on your monthly services	A23CTGXNDDW5LC	
Can I use my device outside the US 	I do not know if you can use your device outside the US 	A235UQRA8GE18X
Can I assign my own tracking number for my shipment 	I do not know if you can assign your own tracking number for your shipment 	A11TABPKSVOOFT
If I buy 100 or more , can I get a discount 	I do not know if you get a discount if you buy 100 or more 	A2EAJXBORHT44T	
How do I submit a claim 	I do not know how you can submit a claim 	A3VV5FFG6GXE1S	
Can I purchase an item and send it as a gift 	I do not know if you can purchase an item and send it as a gift 	A31A4YKVSOYRVS	
How does the radio work 	I do not know how the radio works 	AE9M4Z1NCYSDM	
Is there parking available for RVS	I do not know if there is parking available for RVs 	AZLZA0Q87TJZO
Do you offer gift wrapping 	I do not know if we offer gift wrapping 	A1OPGPTQJ48XOY	
Can you email me more information 	I am not able to email you more information 	A185P3B2MC2K83
Can we reserve a table in the restaurant 	I do not know if you can reserve a table at the restaurant 	A3U0VQ420HIMQ0
What is the cheapest gym membership you offer 	I do not know what the cheapest gym membership we offer is 	A3GNQDFPZALU92	
Can I change the amount of emails I receive	I am not able to help with changing your email preferences 	A39MKVROUZ1UWR
How does using CarHub Connect make my life easier 	I do not know how using CarHub Connect makes your life easier 	A7SXWHGK8B40R
Where can I find Trinity 's current vacancies advertised 	I do not know where you can find Trinity 's current vacancies advertised 	A16NITTBMCSN0V
How long will the check in process take once I arrive 	I do not know how long the check in process will take once you arrive 	A3GNQDFPZALU92	
Can I purchase a Chevrolet directly from the factory 	I do not know if you can purchase a Chevrolet directly from the factory 	A9LX66EQWDRQ5
What are the rental rates on your moving trucks 	I am not able to tell you the rental rates on our moving trucks 	AE9M4Z1NCYSDM	
Do you send members any coupons 	I do not know if we send members any coupons 	ASFR82SJYMGNU
I need help combining shipping for my items , how do I do this 	I am not able to tell you how to combine shipping for your items	AYJGJAIY0EXW
What is the most-visited national park 	I do not know what the most-visited national park is 	A26XN1TM6CV01T
Can you change my shipping method from Fedex Ground to Fedex Home Delivery so that my package will be delivered on Saturday 	I am not able to change your shipping method	APF1EAZT104LQ
How do I cancel my fruit of the month subscription 	I do not know how to cancel your fruit of the month subscription 	A1YKWG46AWMPUX	
What should I do if I receive a Jury Summons in the mail 	I do not know what you should do if you receive a Jury Summons in the mail 	A3RD486RQUI2XV
How is Dumping or Subsidization remedied 	I do not know how dumping or subsidization remedied 	A9LX66EQWDRQ5
What is the status of my order 	I do not know what the status of your order is	APF1EAZT104LQ
What is the most popular item purchased 	I do not know what the most popular purchased item is 	A31A4YKVSOYRVS	
I Am Disabled ; will I be able to go on a stadium tour at Emirates Stadium	I do not know if you will be able to go on a stadium tour at emirates stadium	A23CTGXNDDW5LC
How do I cancel a registration 	I do not know how to cancel a registration 	A13GUTDMGGZZDL
What subjects and qualifications can I study 	I do not know what subjects and qualifications you can study 	A3B2YRXL26RPVH
Can I touch the art 	I do not know if you can touch the art 	A2NI2HSU84PHJW
What does Thought Catalog Books stand for 	I do not know what Thought Catalog Books stands for	APF1EAZT104LQ
I cancelled my order but I am still seeing a charge in my checking account 	I do not know if you cancelled your oder but you are still seeing a charge in your checking account 	ASFR82SJYMGNU
What is the delivery method for my American Friends membership card 	I do not know what the delivery method is for your American Friends membership card 	A1JBSFXMMRGSQD
What Kind of Emergency Care is Available 	I do not know what kind of emergency care is available 	A1R1J3GL0YP7DJ
Who in Personnel should I contact about my appointment 	I do not know who you should talk to about your appointment 	A2K9PB0U45O0MU
What is your process for implementation 	I am not able to tell you what our process for implementation is 	A116N2LEI6O7HB
