It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
Can you get me a block of tickets in the section right behind the goal 	I am not able to get you a block of tickets in the section right behind the goal	A23CTGXNDDW5LC
How do I sign into IN.gov so I can start using my account 	I do not know how to sign into IN.gov so you can start using your account 	A3U0VQ420HIMQ0
What is the timeline for all the ' Alien ' movies 	I do not know what the timeline is for all the ' Alien ' movies 	ARKAJ6PL85CME
What is ' People Who Bought This Item Also Bought ... ' 	I do not know what ' People Who Bought This Item Also Bought ... ' is 	A2K9PB0U45O0MU
How do I return an item that I purchased online	I do not know how to return an item purchased online 	AJ7MWBQFNH3E4
I keep getting emails although I cancel my subscription	I do not know why you keep getting emails even though you cancelled your subscription 	A3VV5FFG6GXE1S	
Where can I track the order through your app 	I do not know where you can track the order through our app 	A185P3B2MC2K83
How old do I have to be to attend 	I do not know how old you have to be to attend 	A3SS1F4F3JE7CU
Can I visit without my membership card 	I do not know if you can visit without your membership card 	A30YFEIPGXNWJL
UPS offers time-definite and day-definite delivery for your domestic , international , or freight shipping . Find the service that best suits your needs by visiting our online service guide 	I do not know how to locate the online service guide 	A18RMWE4BKHG6R
Why is it important to stay with my child while visiting the museum 	I do not know why it is important to stay with your child while visiting the museaum	APF1EAZT104LQ
How can an employer make sure an employee understands the terms of the employment agreement 	I do not know how an employer can make sure an employee understands the terms of the employment agreement 	A2EJ7U3TZAKROG
I ordered a item from your online store last week , and i cant seem to find tracking on that item . Would you be able to let me know when to expect my package 	I am not able to let you know when to expect your package	3N5YJ55YXGVOQ8B99U4EJLLXF51NAB
When does my gift card expire	I do not know when your gift card expires 	AJNQ2PBD07FKE
May Massachusetts employers ask job applicants about their criminal histories 	I do not know if the employers in Massachusetts can ask job applicants about their criminal histories 	A18RMWE4BKHG6R
What is the cheapest package you offer 	I do not know the cheapest package that we offer 	A3B1H161LQLAYP	
How can I send an order back 	I do not know how you can send an order back 	A1IMXDZOTXABBE	
Can you keep this item on hold until next Thursday 	I am not able to keep this item on hold until next Thursday 	A260AFDCSXBQOH
I want to custom make my item of purchase and I want to know how much extra I will be charged	I do not know how much extra you will be charged	3VADEH0UHCPSTP9G693X8AKY1Q9PS5
When will I have access to my applications 	I do not know when you will have access to your applications 	A3RO0QIXW4IX3Y
What are the system requirements for JBZoo 	I do not know what the system requirements for JBZoo are	A23CTGXNDDW5LC
Can you tell me my shipping options 	I am not able to tell you your shipping options	A23CTGXNDDW5LC
Is waterproofing of the kit after assembly required to keep the boat from sinking 	I do not know if waterproofing of the kit after assembly is required 	AD9O852KPYLHY	
Is there a faster internet download speed available 	I do not know if a faster internet speed is available 	A3DFNKXIOUFL23	
Can you help me to change the payment method for my reservation 	I am not able to help you change the payment method for your reservation	356TQKY9XFPL4ZQ7WP3BRXTCP2X78H
Will my employees actually use Know Your Company , or will they find it annoying 	I do not know if they will find it annoying 	A3722NOMVUK89T
Do you offer any rebates 	I do not know if we offer any rebates 	A3GNQDFPZALU92	
The travel forms showed that I would be reimbursed for meal , hotel and car rental fees , but I have only received my meal allowance , can you assist with this 	I am not able to assist with this	3XD2A6FGFNM712T9PK70MKKJWMS9SV
For how long is my ticket valid 	I am not able to know how long your ticket is valad 	A31JM9RECQGYEX
Tell me when you guys can ship from other countries 	I am not able to tell you when we can ship from other countries 	AQLHX3G8KP4TS
What evidence does an employer need to investigate a claim of discrimination 	I do not know what evidence an employer needs to investigate a claim of discrimination	APF1EAZT104LQ
I need help with logging into my account 	I am not able to help you with logging into your account 	A7SXWHGK8B40R
Can I include a gift message 	I do not know if you can include a gift message 	A2LQ9NP944M61Z
Where would I find an item I lost at the zoo 	I do not know where you could find an item you lost at the zoo 	AZLZA0Q87TJZO
I renewed but my registration and decal have not come in the mail 	I do not know why your registration and decal have not come in the mail 	A3RD486RQUI2XV
What is global warming , and how is it different from climate change and climate variability 	I do not know what global warming is or how it is different from climate change 	A13GUTDMGGZZDL
I was accidentally double charged last Tuesday when I visited Chipotle , can I get a refund 	I am not able to refund you for getting double charged 	39XCQ6V3KYWJDHT0FHRG9ZJPS1C56E
When is the next CDC Disease Detective Camp 	I do not know when the CDC is 	A3722NOMVUK89T
I want to find a way to insure a parcel before sending it out to the customer , how do I do this 	I do not know how to insure a parcel before sending it to the customer 	3XH7ZM9YX2MV0NTWAV7VWAFNAK99R7
My shipment was supposed to arrive by Monday , August 27th , but it is now Friday and I do not have my package . Could you track the package on your end 	I am not able to track the package on my end	3D1UCPY6GG133GPKUD0LEGHWK0B388
Where does the train go , and how long is the ride 	I do not know where the train goes , nor how the long the ride is 	A3R71HP45TBQ7O
What are ' Top Selling Items ' 	I do not know what the Top Selling Items are 	A5VBIZ2KIQ1R8
How long is Will Call open 	I do not know how long Will Call is open 	A2TP3K1THK6XRB
When is the best time of year to visit England 	I do not know the best time of year to visit England 	A1JBSFXMMRGSQD
Where can I go to get my product serviced ? It needs to be within 20 miles of my location 	I do not know where to go to get your product serviced 	3DQYSJDTYL3WSF6PR5T9D62M2Y9XE0
Do you offer tours of your factory prior to me placing an order 	I do not know if we offer tours of our factory prior to you placing an order 	AE9M4Z1NCYSDM	
Will there be any security deposit for this apartment since someone if the apartments in these areas does not have security deposit	I do not know if there will be any security deposit 	3IZVJEBJ6ACHKVDPM5YWY3QKT0K6ZM
I put product in my cart but it did n't show up in checkout 	I am not able to help with the product being put in your cart but not showing up in checkout 	A3GNQDFPZALU92	
If I add an item to my wishlist , is it reserved 	I do not know if it is reserved	A23CTGXNDDW5LC
Will I be able to make a return for this item without the original receipt 	I do not know if you can return the item without the original receipt 	3XABXM4AJ1XVAHVMSOCHROA7USOQ8X
We are interested to work with ArtScience Museum , where can I sign up 	I do not know where you can sign up to work with ArtScience Museum 	A3MFFF0TPDZQZS
Do you accept Purchase Orders 	I do not know if we accept Purchase Orders 	A2NI2HSU84PHJW
What can I expect for my driving test 	I do not know what you can expect for your driving test 	A7SXWHGK8B40R
I need to change my address , can you help me with that 	I am not able to help you change your address 	A31A4YKVSOYRVS	
Can I leave and come back 	I do not know if you are able to leave and come back	ABWW1P7GZ4C0Z
How can I make a complaint 	I do not know how you can make a complaint	A23CTGXNDDW5LC
My package arrived damaged ; is there anything you can do about that 	I am not able to do anything about your damaged package 	A3RD486RQUI2XV
Would you be able to include a special message in the package 	I am not able to include a special message in the package 	A2YQAE441JMA7V	
My old passport is expired by my visa is valid , do I need to apply again for visa with a new passport 	I do not know if you need to apply for a visa again 	3NRZ1LDP7WYPU1VU11X543H1O59ZPK
My organisation is not listed on the UN Job List yet . What can I do 	I do not know what you can do if your organisation is not listed on the UN Job List yet 	AZLZA0Q87TJZO
Is it possible to check out as a guest in the online store	I do not know if you can check out as a guest 	A1HQRT1UG6ERGL
How do you make money 	I am not able to tell you how I make money 	A10249252O9I20MRSOBVF
Does the amount of sales tax you charge differ depending on what state you ship to 	I do not know the amount of sales tax charged 	AD9O852KPYLHY	
Do you have lockers 	I do not know if we have lockers 	A1HLG5NN2I16GN
When can I expect my product to ship 	I do not know when you can expect your product to ship 	AJNQ2PBD07FKE
What must I do if I want to start a business that sells or imports beverage alcohol products -LRB- spirits , wine , and beer -RRB- 	I am not able to tell you what you need to do if you want to start a business that sells or imports beverage alcohol products -LRB- spirits , wine , and beer -RRB- 	A3RD486RQUI2XV
I want to send out a package but need more guidance in terms of how I should prepare it for collection tomorrow	I am not able to help you send out a package 	3CIS7GGG65B4BBCUM0IMTZ3I8GSUE5
How do I change my email address 	I do not know how you change your email address 	A3CL6GEDFNQGQY
How do I view charges for my entire account 	I do not know how you view charges for your entire account 	A3RD486RQUI2XV
How long will the current balance transfer offer last 	I do not know how long the current balance transfer will last 	A31A4YKVSOYRVS	
What is my account balance 	I do not know what your account balance is 	A325WS381BHOHH	
Can I defer a position once offered and accepted 	I do not know if you can defer a position once offered and accepted 	A3G2FBKYCRD5Q8
What is Toyota Rent a Car 	I do not know what Toyota Rent a Car is 	A5VBIZ2KIQ1R8
Is it hard to keep all of the cars running	I do not know if it is hard 	A325WS381BHOHH
I 've lost/misplaced my membership cards ! What should I do 	I do not know what you should do 	A2NI2HSU84PHJW
If I have not received delivery of a product I 've ordered , is it too late to cancel my order 	I do not know if it is too late to cancel your order 	3Z8UJEJOCZ53HL8UZ56ZECC746T39X
When can I book my one free teacher familiarisation visit 	I do not know if you can book your one free teacher familiarisation visit 	A3I9FTHSULHPYS
Does the Museum have a Gift Shop 	I do not know if the museum has a gift shop 	A2K2MFQMN31DZ
When do I get paid 	I do not know when you get paid 	A1JBSFXMMRGSQD
How do I enroll in or make changes to disability coverage 	I do not know how you can enroll or make changes to disability coverage 	AF1VPADWTM40W
Are there any exhibits that are closed throughout the day 	I do not know if there are any exhibits closed throughout the day 	A1JBSFXMMRGSQD
Will disconnecting from the Internet during download break the movie 	I do not know if disconnecting from the Internet during download breaks the movie 	A7SXWHGK8B40R
Can I take photos or videos 	I do not know if you can take photos or videos 	A2UBEPT605E8T2
Would HR Alternatives be actually replacing my current HR staff or management 	I do not know if HR Alternatives would be actually replacing your current HR staff or management 	A2HKTM4Z8652
Can I purchase a membership as a gift 	I do not know if you can purchase a membership as a gift 	A1I0AQEKVWIPXC
I 'm Having Trouble With My Password - Can You Help 	I do not know if we can help 	A2NI2HSU84PHJW
Can I play at more than one table at the same time 	I do not know if you can play more than one table at the same time 	A3RD486RQUI2XV
What ages of children are free 	I do not know what ages of children are free 	A1IMICF9ISISZN
What is the longest slide you make	I do not know what the longest slide we make is 	A2VIKCIM9TZL22
Do you sell smart lights 	I do not know if we sell smart lights 	AE9M4Z1NCYSDM	
How is matcha prepared 	I do not know how matcha is prepared 	A234VIHHUHPZG5
Does the drone reverse	I do not know if the drone can go in reverse 	A9LX66EQWDRQ5	
Does EDDA have any outreach programs 	I do not know if EDDA has any outreach programs 	APC99TPURUHR8
Can I adopt an animal at Chester Zoo 	I do not know if you can adopt an animal 	A325WS381BHOHH
Is there a lower limit to how much money I keep on my card 	I do not know if there is a lower limit of how much money you keep on your card 	AE9M4Z1NCYSDM	
What do I do if I need to drop a class	I do not know what you do if you need to drop a class	A23CTGXNDDW5LC
When someone agrees to finance the purchase of a car with my dealership , they sign a retail installment contract . I immediately assign the contract to a third party lender . Do I have to give a privacy notice to the purchaser 	I do not know if you have to give a privacy notice to the purchaser 	ARKAJ6PL85CME
Do you use a 3rd party service for shipping	I do not know if we use a 3rd party service for shipping	A23CTGXNDDW5LC
What rental items are available 	I do not know what rental items are available 	A7SXWHGK8B40R
How will I know if my insurance company has paid my bill 	I do not know how you will know that your insurance company has paid your bill 	A2K2MFQMN31DZ
Who can I contact for more information 	I do not know who you can contact for more information	A1CMT9MVUO52VP
What if I do n't see my favorite non-profit on the list 	I do not know how you would be able to see your favorite non-profit on the list 	A2VIKCIM9TZL22
What items can I salary sacrifice 	I do not know what items you can salary sacrifice 	A1J0GU26323WVA
Do you have a Jacuzzi 	I do not know if we have a Jacuzzi 	A13GUTDMGGZZDL
Can I return this product in-store 	I do not know if you can return this product in-store 	A260AFDCSXBQOH
May I put my membership on hold 	I do not know if you may put your membership on hold	A23CTGXNDDW5LC
Why is the shipping costs so high for this particular item 	I do not know why the shipping cost is so high for this particular item 	A185P3B2MC2K83
How can I purchase a membership 	I do not know if you can purchase a membership 	A3I9FTHSULHPYS
Can you help me change me shipping address 	I am not able to help you change your shipping address 	A185P3B2MC2K83
Where can I find forms that may be necessary when applying 	I do not know where you can find forms that may be necessary when applying 	A3RD486RQUI2XV
Are these shoes online or can i go to the store to pick them up 	I do not know if these shoes are online nor if you can go to the store to pick them up 	3HEADTGN2PKTXU6ZDWCROS4K1CRRV4
The trains do n't run 24 hours a day 	I do not know if the trains run 24 hours a day 	A2K2MFQMN31DZ
I ordered a 32 ounce water bottle from your company because I read such great reviews , but the straw appears to be faulty . Is there any way I can get a new straw or a discounted rate on a replacement 	I do not know if there isany way you can get a new straw or a discounted rate on a replacement	3D1UCPY6GG133GPKUD0LEGHWK0B388
What should we wear 	I do not know what you should wear 	A9A2IX3OBORBE
I saw your listing online for five dollars more than on Amazon . Do you price match ? Is there a way to get a discount 	I do not know if we will price match or if you can get a discount 	3FDWKV9VCNU2NZ473Y65678RHIJUMU
Why am I asked to enter my phone number when making a purchase	I do not know why you are asked your phone number 	AJNQ2PBD07FKE
How much is general admission , and what does it include 	I do not know how much general admission is , or what it includes 	AISE949ZZN8HA
Is ' Doubt ' based on a book 	I do not know if ' Doubt ' is based on a book 	AZLZA0Q87TJZO
What are the payment terms -LRB- due date -RRB- for IBM invoices 	I do not know the payment terms for IBM invoices	A1AOIAN2NN7QY9
What is Tavern Arts 	I do not know what Tavern Arts is 	AZLZA0Q87TJZO
How can I return item that was purchased online or over a phone , do I have to pay for that return shipment	I do not know how you can return an item 	3NRZ1LDP7WYPU1VU11X543H1O59ZPK
I 've never heard of a dealer that does n't negotiate . Why do n't you 	I do not know why we do n't	A23CTGXNDDW5LC
What is ' Declare lost ' for 	I do not know what ' Declare lost ' is for 	A3U0VQ420HIMQ0
If I want to put a hold on my mail while I go on vacation , how far in advance do I need to do that 	I do not know how far in advance you need to do that	3NZ1E5QA6ZTPJTAVB88OKF5H62N5BZ
Can you tell me where the product was made 	I do not know where the product was made 	AE9M4Z1NCYSDM	
What software is approved for IRS e-file 	I do not know what software is approved for IRS e-file	AE2QWV0TZNJAN
If I book more than one tour or encounter - Do I get a discount	I am not able to give you a discount if you book more than one tour or encounter 	A18KR781AUQBA6
My account was n't letting me log in is there anything wrong with the servers or is it on my end 	I do not know if there is anything wrong with the servers 	3ZRKL6Z1E8VMGCGH3QDAE1660ZMSG4
Do I need to file a police report if my license was lost or stolen 	I do not know if you need to file a police report if your license was lost or stolen 	A2EJ7U3TZAKROG
How do I know which size I should be ordering	I do not know what size you should be ordering 	A1HQRT1UG6ERGL
Which UPS should I buy 	I do not know which UPS you should buy 	AJ7E01X4TAGHL
Can I pay my property tax bill online 	I do not know if you can pay your property tax bill online 	AE9M4Z1NCYSDM	
How long does the process take 	I do not know how long the process takes 	A2LQ9NP944M61Z
Can I bring a toddler/pram on a tour/encounter	I do not know if you can bring a toddler/pram on a tour/encounter 	A3I9FTHSULHPYS
How much is standard shipping if my order is over $ 100 	I do not know how much standard shipping is if your order is over $ 100 	AJ7MWBQFNH3E4
I 'd like to change the delivery address as I wo n't be around to get my package . How do I do this 	I do not know how you do this	3W3RSPVVGSJIHHMM3M5Q6UT2HDTULS
Who runs ICOM 	I do not know who runs ICOM 	A3U6CLX7HD0SMF
Can I get help checking on my order 	I am not able to check on your order 	AJKA9BKC011F2
why does it say my discount code expired	I do not know why it says your discount code expired 	AJNQ2PBD07FKE
Can you send a push notification to my phone when my item ships 	I am not able to send a push notification to your phone when the item ships 	ASFR82SJYMGNU
How long would you recommend for a visit 	I do not know how long we would recommend for a visit	A23CTGXNDDW5LC
What about the weather 	I do not know about the weather 	A13GUTDMGGZZDL
What is your refund policy 	I do not know the refund policy 	AYJGJAIY0EXW
What 's the difference between a college and a university 	I do not know the difference between a college and a university 	A1J0GU26323WVA
What should I do if I forgot my Password	I do not know what you should do if you forget your password 	A2NI2HSU84PHJW
What can I do if I do n't receive my package 	I do not know what you can do if you do n't receive your package 	A325WS381BHOHH	
Must a partnership or corporation file a tax return even though it had no income for the year 	I do not know if they need to file 	A1DWQO9X2ZQ35G
Does Hospital IQ require integration with an EMR 	I do not know if the Hospital IQ requires integration with an EMR 	A1X3SF2W1QQBY1
If my retailer or streaming provider stops participating in UltraViolet , what will happen to my rights 	I do not know what will happen to your rights if your retailer or streaming provider stops participating in UltraViolet 	A1JBSFXMMRGSQD
How can I find out when I 'm going to receive my package 	I do not know how you can find out when you 're going to receive your package 	AZLZA0Q87TJZO
Who is affected by Estate Recovery 	I am not able to tell you who is affected by Estate Recovery 	A116N2LEI6O7HB
Does my boarding pass indicate that I can use the TSA Pre ✓ ® lane 	I am not able to tell if your boarding pass indicates that you can use the TSA Pre ✓ ® lane 	A2115OWJ0CKOB3
Why ca n't I log in 	I do not know why you ca n't log in 	A1J0GU26323WVA
What does the background check involve 	I do not know what the background check involves 	A8O98QNRG9SHV
Can we take photographs 	I do not know if you can take photographs 	A3I9FTHSULHPYS
How can I find out more about art conservation 	I do not know how you can find out more about art conservation at this time 	A1I0AQEKVWIPXC
What are the Occupational Safety and Health Administration 's -LRB- OSHA 's -RRB- employer reporting requirements in the event of an employee 's workplace death 	I do not know what the Occupational Safety and Health Administration 's -LRB- OSHA 's -RRB- employer reporting requirements are in the event of a workplace death of an employee 	A3U6CLX7HD0SMF
Are you open tomorrow evening 	I do not know if we are open tomorrow evening 	AE9M4Z1NCYSDM	
Are project backed in recyclable containers 	I do not know if the project is backed in recyclable containers 	A8F4B0854KTXO	
How much do I tip drivers and other service workers	I do not know how much you tip drivers and other service workers 	A1J0GU26323WVA
I have a appointment for tomorrow , but I want to change the time of the appointment 	I am not able to help you change the time 	33KMQD9OFJ6H4LLOMKB5DXXHEIR77U
How can I have the annual fee waived 	I do not know how you can have the annual fee waived 	A3SZ3W7V3GUN8Z
What to Pack for Your Yellowstone Vacation	I do not know what you should pack for your Yellowstone vacation 	A13GUTDMGGZZDL
When I saw a movie earlier in your theater I left my backpack in the lobby . Did anyone find the bag 	I do not know if anyone found the bag 	3D1TUISJWISGRGEGIJ8DEE1A09ZUIE
Are parents allowed in the classroom 	I do not know if parents are allowed in the classroom 	A2K9PB0U45O0MU
Reset my security question	I am not able to reset your security question 	A3RD486RQUI2XV
Some of the products I received from your company were not as described and came unpainted , although your description says they will come finished . Can I have a partial refund to reflect the additional work I now have to do 	I do not know if you can have a partial refund 	36KM3FWE3R43MAL41LQWYINU64L07N
DO YOU OFFER COAT CHECK & STROLLER STORAGE CHECK	I do not know if we offer a coat or stroller storage check 	APC99TPURUHR8
Where should I mail my payment 	I do not know where you should mail your payment 	ARKAJ6PL85CME
Can I get a free copy of Intel ® Media Server Studio 	I do not know if you can get a free copy of Intel ® Media Server Studio	ARKAJ6PL85CME
Can you help me set up my voice mailbox 	I am not able to help you set up your voice mailbox 	A3GNQDFPZALU92	
Is a stone crab harmed when its large claw is broken off 	I do not know if a stone crab is harmed if one of its claws is broken off 	A3DFNKXIOUFL23
What did USS Constitution look like when she was launched in 1797 	I do not know what USS Constitution look like when she was launched in 1797	A16184N1RO5OJV
Do I call back this number and ask for you , or can anyone help me 	I do not know if you call back this number and ask for me or if anyone can help you 	ASFR82SJYMGNU
I am planning a vacation to Cabo next year . What time of the year has the cheapest flights for that destination 	I do not know what time of the year has the cheapest flights for that destination	3N5YJ55YXGVOQ8B99U4EJLLXF51NAB
Where can I get more information on the Intel TBB open-source offering 	I do not know where you can get more information on the Intel TBB open-source offering 	A3NZLRU95OULXB
Is there a time during the year that special sales and promotions provide the lowest prices 	I do not know if there is a time when specials and promotions provide the lowest prices 	3H6W48L9F4HL06QPQEDY5ZNJ735PWK
I am an over-the-road truck driver . Do I have to serve 	I am not able to tell you if over-the-road truck drivers have to serve 	A355BVFIOODRH2
Do these guidelines also apply to M&P staff in the Okanagan , at Robson Square and at the hospital sites 	I do not know if these guidelines also apply to M&P staff in the Okanagan , at Robson Square and at the hospital sites 	A1J0GU26323WVA
Can yo u tell me when my order might be delivered 	I do not know when your order might be delivered 	3T2EL38U0MCLPIWU0WO97NR0L1XXQC
Where can I change my password on the site 	I do not know where you can change your password on the site 	A31A4YKVSOYRVS	
Can you suspend my account until I get done dealing with an identity theft issue 	I do not know if we can suspend your account until you are done dealing with the identity theft issue 	A31A4YKVSOYRVS	
Can I pay for expedited shipping 	I do not know if you can pay for expedited shipping 	A3GNQDFPZALU92	
Is your pharmacy open on weekends 	I do not know if the pharmacy is open on weekends 	A3GNQDFPZALU92	
How do I get information about my ancestor who served on USS Constitution 	I do not know how you get information about your ancestor 	A2NI2HSU84PHJW
Where is the most convenient parking	I do not know where the most convenient parking is 	AI3HPZQC9GMBY
What is SMoCA 's accessibility 	I do not know the accessibility of SMoCA 's 	A31JM9RECQGYEX
My spouse and I have provided a home for my niece and her son for the past seven months . She has no income and we provided all of her support during the year . Can I claim both her and her son as dependents 	I do not know if you can claim both your niece and her son as dependents 	AZLZA0Q87TJZO
Can you tell me about any promotional plans you offer	I am not able to tell you about any promotional plans we offer 	A1JBSFXMMRGSQD
Can we climb aboard the airplanes 	I do not know if you can climb aboard the airplanes 	A5VBIZ2KIQ1R8
If I bought a ticket online , and when I arrive it says the event is SOLD OUT , will I still be able to get in 	I do not know if you will still be able to get in 	AFS36YMNN8A2J
What does free general admission include 	I do not know what free general admission includes 	A2K2MFQMN31DZ
What type of service plans do you offer ? Is there a web address I can go to and look at the options 	I do not know what kind of service plans I offer 	3EFNPKWBMSGLLRKHZ9N6L1BE12Z30L
What Time Does In-Service Camp Start and End 	I do not know what time In-Service Camp starts and ends 	A16VTK6KZ1U69H
I 'm having a problem with my bill , I think I was overcharged 	I do not know why you were overcharged on your bill 	A31A4YKVSOYRVS	
What information will be on the IDNYC card 	I do not know what information will be on the IDNYC card	A23CTGXNDDW5LC
Do you have any sulfate-free shampoos 	I do not know if we have any sulfate-free shampoos 	AE9M4Z1NCYSDM	
May an employer give cash advances to employees for transportation costs 	I do not know if an employer may give cash advances to employees for transportation costs 	A1J0GU26323WVA
What is the difference between the All Item tab and the Item Shipped by Newegg tab in Item List function 	I do not know what the differences is between the all item tab and the Item Shipped tab	APF1EAZT104LQ
Who should I contact if I am unhappy with my product	I do not know who you should contact if you are unhappy with your product	AQ64IKQFVU0BF
How can I become a member of the Air Museum 	I do not know how you can become a member of the Air Museum 	A3CL6GEDFNQGQY
How can I find out about the Whitney 's collection 	I do not know how you can find out about the Whitney 's collection 	A1J0GU26323WVA
Where can I find healthy recipes for different ethnicities 	I do not know where you can find healthy recipes for different ethnicities 	A2HKTM4Z8652
How is a presidential library different from my local library 	I do not know how a presidential library is different from your local library 	A7SXWHGK8B40R
Do I need a US passport 	I do not know if you need a US passport 	A3RD486RQUI2XV
I think I recognize your accent . Where are you located or where are you from 	I am not able to tell you 	3T5ZXGO9DEGAUDW91ECU487BT1VZQB
What other Museums can I visit with my National Museum membership 	I do not know what other museums you may visit with your National Museum membership 	AC3Z1OB6KTXX
I believe a package I ordered was lost in the mail , it 's been weeks since I ordered . What can I do to get a refund 	I do not know what you can do to get a refund	31KPKEKW4A5QOMOUE22C3K9QPUC0B9
Can I claim the earned income credit on Form 1040EZ 	I do not know if you can claim the earned income credit on Form 1040EZ 	A2115OWJ0CKOB3
If online tickets are no longer available for a tour , is the tour completely sold out 	I do not know if online tickets are no longer available for a tour if the tour is completely sold out 	A1JBSFXMMRGSQD
What information should an individual provide when calling law enforcement during or after an active shooter event in the workplace 	I do not know what information an individual should provide when calling law enforcement during or after an active shooter event in the workplace 	A2NI2HSU84PHJW
Should an employer have a no dating policy 	I do not know if an employer should have a no dating policy 	AWAW665TQQP2F
The chair I want is out of stock , how do I find out when it will be coming back in stock 	I do not know how you find out when the chair you want will be coming back in stock 	A1X3SF2W1QQBY1
If I bought this item at one store location , can I return it at another 	I do not know if you can return this item at another store location 	A3GNQDFPZALU92	
Is food available at the museum 	I do not know if food is available at the museum 	A1YB6WRWEXG1OC
I/my child is new to the dance world . What do we need to know 	I do not know what you and your child need to know for dance world 	A2VIKCIM9TZL22
I want to return a product but I am not sure if it 's eligible for returns 	I do not know if the product is eligible for returns 	AJNQ2PBD07FKE
Can you delay my subscription this month and allow me to pay double next month 	I am not able to delay your subscription this month and double next month 's payment 	A31A4YKVSOYRVS	
Do you ship internationally 	I do not know if we ship internationally 	A13JQTLPWXZD6L
Do I have to be a MileagePlus member to book flights on united.com 	I do not know if you have to be a MileagePlus member to book flights on united.com 	A2UBEPT605E8T2
What is an Explanation of Benefits -LRB- EOB -RRB- 	I do not know what an EOB is 	A2NI2HSU84PHJW
Could you please give me some options to upgrade my service 	I am not able to give you some options to upgrade your service	A23CTGXNDDW5LC	
Where do I get the UT Austin Selective Service Eligibility and Verification Form 	I do not know where you get the UT Austin Selective Service Eligibility and Verification Form 	A3RD486RQUI2XV
How long will it take my student to go through the complete Algebra course 	I do not know how long it 'll take your student to go through the complete Algebra course 	APC99TPURUHR8
How do I ensure that I receive the miles I earned 	I do not know how you ensure you receive the miles 	A3SQIRU1XI54BR
Do you guys do price-matching 	I do not know if we do price-matching 	A31A4YKVSOYRVS	
How do I take the product off stand-by mode 	I do not know how to take the product off stand-by mode 	A3U6CLX7HD0SMF	
Do you offer socks at wholesale 	I do not know if we offer socks at wholesale 	A13GUTDMGGZZDL
I am supposed to have referral credits , but I do n't see them , can you help 	I am not able to help 	ASFR82SJYMGNU
Are there any loan options available for a student in technical school 	I do not know if there are any loan options available for a student in technical school 	AXY0D2AMLKE2A
What are the different types of graduate degrees 	I do not know what are the different types of graduate degrees 	A3SS1F4F3JE7CU
Do you hold any annual sales	I do not know if we hold any annual sales 	A211IP73OBSU2D
Do you cancel classes on snow days 	I do not know if we cancel classes on snow days 	A3G2FBKYCRD5Q8
Who is Charlie Johnson and why is his name displayed on my phone 	I do not know who Charlie Johnson is or why his name is displayed on your phone 	A9LX66EQWDRQ5
How do I find my return label 	I do not know how you find your return label	A23CTGXNDDW5LC
Does having my item customized cost extra 	I do not know if having your item customized costs extra 	A31A4YKVSOYRVS	
Who gets to choreograph 	I do not know who gets to choreograph 	A3I9FTHSULHPYS
Is insurance included in the shipping price 	I do not know if insurance is included in the shipping price 	A1GAARR4GOOZCO	
My water heater went out and I need to have it fixed as soon as possible . When can I have someone come look at it 	I do not know when someone can look at it 	36KM3FWE3R43MAL41LQWYINU64L70U
If an employee chooses to use a ' preferred name ' rather than their legal name in Workday , will that preferred name to be used in any other ways by the college 	I do not know if that perferred name will be used in other ways 	A13GUTDMGGZZDL
How long does it take to go through the AACA Museum 	I do not know how long it takes to go through the AACA Museum 	A32Y2DA2CW8YWN
If the only space available at a work site is a bathroom , can employers require employees to express breast milk there 	I do not know if the only space available at a work site is a bathroom , IF THE EMPLOYERS require employees to express breast milk there	ATQD23E8ESFSI
I am allergic to feather products . Do you offer any hypoallergenic bedding	I do not know if we offer any hypoallergenic bedding 	APC99TPURUHR8
How do I set up notifications for future job announcements 	I do not know how you set up notifications for future job announcements 	A7SXWHGK8B40R
How can I reserve a baby cot 	I do not know how you would reserve a baby cot 	A3RO0QIXW4IX3Y
For some reason I ca n't login to my account , please check it out 	I am not able to check out why you can not login to your account 	A3RD486RQUI2XV
Can I check out via Google Checkout	I do not know if you can check out via Google Checkout 	AJKA9BKC011F2
What resources are available to help me plan my visit to the Museum 	I do not know what resources are available to help you plan your Museum visit 	A30YFEIPGXNWJL
Can I customize the color of my order 	I do not know if you can customize the color 	A1F04SJJSSWA1N
Is there a cash point in the zoo 	I do not know if there is a cash point in the zoo 	A3G2FBKYCRD5Q8
Do I need to make reservations to visit the Museum 	I do not know if you need to make reservations to visit the Museum 	A9LX66EQWDRQ5
If I ordered this item online , can I get a replacement in store 	I do not know if you can get a replacement in store 	AD9O852KPYLHY	
When 's the best time to visit the ZOO	I do not know when the best time to visit the zoo is 	A1J0GU26323WVA
Can I apply for your store credit card online 	I do not know if you can apply for our store credit card online 	A325WS381BHOHH	
I 've enclosed photos of the damage received to my vanity table and would like to be reimbursed 	I am not able to help you with a reimbursement 	3P458N04Q194XZU9YLY8B5TX5VK2X4
Do I have to live in Cook County to file my dissolution of marriage or civil union in Cook County 	I do not know if you have to live in Cook County in order to file your dissolution of marriage or civil union in Cook County 	A2VIKCIM9TZL22
Do I get in free if I 'm a member of another zoo	I do not know if you get in free 	A13GUTDMGGZZDL
What is the shipping cost for my order 	I do not know what the shipping cost for your order is 	A9LX66EQWDRQ5	
